285237,C3orf38,Q5JPI3
55299,BRIX1,Q8TDN6
7179,TPTE,P56180
9550,ATP6V1G1,O75348
120406,NXPE2,Q96DL1
56943,ENY2,Q9NPA8
55837,EAPP,Q56P03
54438,GFOD1,Q9NXC2
79003,MIS12,Q9H081
80204,FBXO11,Q86XK2
687,KLF9,Q13886
84319,CMSS1,Q9BQ75
5051,PAFAH2,Q99487
133686,NADK2,Q4G0N4
55164,SHQ1,Q6PI26
5356,PLRG1,O43660
64417,TMEM267,Q0VDI3
152579,SCFD2,Q8WU76
4693,NDP,Q00604
1736,DKC1,O60832
10146,G3BP1,Q13283
85462,FHDC1,Q9C0D6
124245,ZC3H18,Q86VM9
139422,MAGEB10,Q96LZ2
27335,EIF3K,Q9UBQ5
54906,TASOR2,Q5VWN6
81033,KCNH6,Q9H252
27243,CHMP2A,O43633
6138,RPL15,P61313
51602,NOP58,Q9Y2X3
203259,FAM219A,Q8IW50
4216,MAP3K4,Q9Y6R4
79864,JHY,Q6NUN7
284613,CYB561D1,Q8N8Q1
51678,MPP6,Q9NZW5
55830,GLT8D1,Q68CQ7
54529,ASNSD1,Q9NWL6
79957,PAQR6,Q6TCH4
526,ATP6V1B2,P21281
4712,NDUFB6,O95139
113402,SFT2D1,Q8WV19
11010,GLIPR1,P48060
51501,HIKESHI,Q53FT3
7978,MTERF1,Q99551
10797,MTHFD2,P13995
3203,HOXA6,P31267
11102,RPP14,O95059
8687,KRT38,O76015
689,BTF3,P20290
2739,GLO1,Q04760
9354,UBE4A,Q14139
285190,RGPD4,Q7Z3J3
26122,EPC2,Q52LR7
29943,PADI1,Q9ULC6
55093,WDYHV1,Q96HA8
63939,FAM217B,Q9NTX9
813,CALU,O43852
25849,PARM1,Q6UWI2
5074,PAWR,Q96IZ0
9117,SEC22C,Q9BRL7
9135,RABEP1,Q15276
51110,LACTB2,Q53H82
10424,PGRMC2,O15173
2914,GRM4,Q14833
10237,SLC35B1,P78383
79632,FAM184A,Q8NB25
57700,FAM160B1,Q5W0V3
5523,PPP2R3A,Q06190
8531,YBX3,P16989
23301,EHBP1,Q8NDI1
6515,SLC2A3,P11169
3782,KCNN3,Q9UGI6
51389,RWDD1,Q9H446
10147,SUGP2,Q8IX01
84226,C2orf16,Q68DN1
157753,TMEM74,Q96NL1
284546,C1orf185,Q5T7R7
6161,RPL32,P62910
92370,PXYLP1,Q8TE99
5479,PPIB,P23284
23245,ASTN2,O75129
79023,NUP37,Q8NFH4
9761,MLEC,Q14165
84984,CEP19,Q96LK0
84932,RAB2B,Q8WUD1
10458,BAIAP2,Q9UQB8
2958,GTF2A2,P52657
1138,CHRNA5,P30532
151011,SEPTIN10,Q9P0V9
1982,EIF4G2,P78344
5690,PSMB2,P49721
4869,NPM1,P06748
821,CANX,P27824
